Complaints
Quick tutorials without examples and case studies
"Not having a break
Slideshows can be long, making it difficult to take in all the information"
Too much theory and discussion
so far so good !
"Having the lectures at 9 in the morning
"
Mild disconnect between lab and lecture sessions.
That the content covered in the seminars doesn't always cover the details necessary to successfully complete the chapter exams. I understand that this would be too much to cover during the two-hour sessions but this could be circumvented if the chapter exams were created by the lecturers based on content in the slides rather than conducted externally.
The talking in the class a lot of the students talk over the teacher makes it hard to listen
Not sure
The lab slides are primarily a repetition of the lecture slides meaning a lot of time is spent going over the same material rather than doing the lab. It would be easier if they just contained the tasks
Not sure 
I do not like how the lessons are explained. They have made this module very uninteresting and boring because of which I cannot concentrate in the class. The students are just expected to do the lab sessions without any prior experience or knowledge.
The only thing i would nitpick is the lateness of the lesson 
I do not know much about the final submission for the module.
"A 4 hour teaching session. I believe that students can have a wider look at problems by having some time thinking through it, so making 2 2-hour session would be more productive. "
The quizzes
nothing for now
Sometimes the tutor goes a little too fast witht the powerpoint but that's not a huge issue
Having to write a cv for some reason? We're doing a lot of career/employability related stuff that really stresses me out and I'm not sure why it's in a module about data structures and algorithms.
The fear. The confusion as to how we're supposed to acheive anything. The fact it makes me cry so much. The fact we're supposed to come up with an original idea as if everything isn't derivative and as if that's an easy thing to do. The goal that seems completely unachievable.
the module feel like a quota feeling than a subject as it feels disconnected and hard to keep concentration 
The lectures are hard to understand and a lack of resources I struggle with
The lectures has lots of algorithms and at times it gets confusing
I am the team leader and I have to chase up my team members for work 
"the forced ""innovative"" aspect of the module"
Lectures ending early as I feel not all my time is valued when attending the lecture.
"The lack of help with software, the video making (assessment 1)"
The practical can be quite boring sometimes and i would like to see more of the module content actually being used practically in labs.
"How complex the resources and lectures are, not explained sufficiently. Mixup during lectures about concepts. Need to write concretely what each concept is, feels like they don't explain enough and properly."
"The Bi-weekly lecture, I feel this as insignicant as we are told the same information over and over again."
"The PowerPoint slides for the lecture are full of a lot of content and are not broken down thoroughly, it also makes it hard to be able to ask questions in the lecture and sometimes a few lecture slides are often skipped without reason or explanation, making it difficult to understand. "
"How the weekly labs is given/explained on our 2nd Wednesday class while we have a Monday class on Network Fundamentals.

I also don’t like classes being held in the Steamhouse"
"the topic itself. I have never had an interest in networks, and this module has not changed my opinion of the topic."
That the lectures and slides only cover like 40% of what we need to know about the topics. The lecturer doesn't go through with the class how the labs should be done.
"The Weekly labs we do are only worth 2% and i feel that for the amount of work you have to do,it's not worth it so i feel that if it was worth more then it would be better.The same applies for the chapter exams."
I am not keen on having difficulties with communication within the group such as feeling like i'm putting in more work than others are. 
The classes in steam house where we use laptops to scroll on a Google colab file large amount of time every week. 
That it is very daunting to go from zero knowledge on making anything to having to make a full prototype that requires lots of knowledge to make. Lecturers don't make it feel less difficult/don't provide help on what we are going to do. Feels like we have to do 90% of the work ourselves with the lecturers just assessing if your work is good without providing help.
How the Sessions are scheduled for 4 hours.Often i see people leaving early and it makes you feel tired i understand we use that time to create a product but people often get distracted so if it was reduced then that would be good.
I don't have any complaints or areas that I dislike. The only thing is that I would like more time spent on the practical classes and guiding students on the final project- it still feels a unknown and daunting. 
the tutor is not audible enough and needs to carry us along
"The practical/lab sessions, they seem to be just another lecture and we do not get chance to practise what is being taught. Also the Labs are a bit too fast. "
"The manner in which it is taught seems without structure. In this class, we are expected to learn and implement HTML, CSS, JavaScript and then a backend for our project. It is a lot of information and one of our our most vital classes in terms of post-graduation employability. After 4 weeks, the class has had 1 practical class which consisted of copied and pasting HTML and CSS from a website, not building slowly and explaining what each component did. With a project due in a few weeks, most of the class do not feel equipped to adequately begin or complete the coursework yet.  "
"The tutor is always 20 minutes late and leaves 30 minutes early. PowerPoints are over 100 slides so he doesn't finish them and uses the lab to do it even though he wasted 50 minutes of the scheduled time.

I have struggled to understand the practical side as Rasheed does not explain things well. When trying to work on my website I struggled to understand the various concepts (HTML, Bootstrap, CSS) because the labs did not explain it.

He also cancelled the lab about CSS and didn't think to try and catch us up on it."
"I do not like have to do a presentation summarising the week. It is akward, doesn't add much to my personal learning and wastes valuable time."
The fact it is ALL team-based as some people in the class are very difficult to work with and it reflects badly on us.
How the teacher explains for 5 min in the lab and then we don’t know what to do for the lab session
"The one hour seminar we have as it isn’t useful, hope to have a lecture instead were the information is explained. "
The Thursday session is for two hours and I have to travel one hour to get here 
the Seminar sessions because they finish very late. 
large number of labs that need to be submitted that assess similar knowledge and skills.
The Extremely long lecture sessions 
The long 4 hour sessions 
The pressure of having to come up with a new viable idea to make a working product from.
The way the assessment marks for the module are structured.
The task that make you find all the address and information yourselves these are good because they show us what we need to when we want a certain piece of information.
